degree	prob
0	0.0
1	0.09596774193548387
2	0.08225806451612903
3	0.07258064516129033
4	0.0467741935483871
5	0.06370967741935483
6	0.0532258064516129
7	0.04758064516129032
8	0.02338709677419355
9	0.027419354838709678
10	0.03225806451612903
11	0.01532258064516129
12	0.01935483870967742
13	0.020967741935483872
14	0.01129032258064516
15	0.017741935483870968
16	0.01532258064516129
17	0.016129032258064516
18	0.05967741935483871
19	0.016129032258064516
20	0.02258064516129032
21	0.016935483870967744
22	0.018548387096774192
23	0.0064516129032258064
24	0.010483870967741936
25	0.01532258064516129
26	0.0064516129032258064
27	0.007258064516129033
28	0.0064516129032258064
29	0.0064516129032258064
30	0.0064516129032258064
31	0.010483870967741936
32	0.004032258064516129
33	0.0032258064516129032
34	0.0024193548387096775
35	0.0032258064516129032
36	0.004838709677419355
37	0.004032258064516129
38	0.004838709677419355
39	0.008064516129032258
40	0.004032258064516129
41	0.004032258064516129
42	0.007258064516129033
43	0.0016129032258064516
44	0.0008064516129032258
45	0.0032258064516129032
46	0.0008064516129032258
47	0.00564516129032258
48	0.0024193548387096775
49	0.00564516129032258
50	0.004032258064516129
51	0.0016129032258064516
52	0.004032258064516129
53	0.0016129032258064516
54	0.0008064516129032258
55	0.0008064516129032258
56	0.0016129032258064516
57	0.0024193548387096775
58	0.0016129032258064516
59	0.0016129032258064516
60	0.0016129032258064516
61	0.0032258064516129032
62	0.0016129032258064516
63	0.0
64	0.0008064516129032258
65	0.0024193548387096775
66	0.0024193548387096775
67	0.0
68	0.0016129032258064516
69	0.0016129032258064516
70	0.0
71	0.0008064516129032258
72	0.0008064516129032258
73	0.0008064516129032258
74	0.0016129032258064516
75	0.0008064516129032258
76	0.0008064516129032258
77	0.0016129032258064516
78	0.0008064516129032258
79	0.0008064516129032258
80	0.0008064516129032258
81	0.0
82	0.0008064516129032258
83	0.0
84	0.0
85	0.0
86	0.0008064516129032258
87	0.0016129032258064516
88	0.0
89	0.0
90	0.0016129032258064516
91	0.0008064516129032258
92	0.0
93	0.0
94	0.0008064516129032258
95	0.0
96	0.0
97	0.0
98	0.0
99	0.0
100	0.0
101	0.0
102	0.0
103	0.0
104	0.0
105	0.0
106	0.0
107	0.0
108	0.0
109	0.0
110	0.0
111	0.0
112	0.0
113	0.0
114	0.0
115	0.0008064516129032258
116	0.0008064516129032258
117	0.0
118	0.0
119	0.0
120	0.0
121	0.0
122	0.0
123	0.0
124	0.0
125	0.0
126	0.0
127	0.0
128	0.0
129	0.0
130	0.0
131	0.0
132	0.0
133	0.0008064516129032258
134	0.0
135	0.0
136	0.0008064516129032258
137	0.0
138	0.0
139	0.0
140	0.0008064516129032258
141	0.0
142	0.0
143	0.0
144	0.0
145	0.0
146	0.0
147	0.0
148	0.0
149	0.0
150	0.0
151	0.0
152	0.0008064516129032258
153	0.0
154	0.0
155	0.0
156	0.0
157	0.0
158	0.0
159	0.0
160	0.0008064516129032258
161	0.0
162	0.0
163	0.0
164	0.0
165	0.0
166	0.0
167	0.0008064516129032258
168	0.0
169	0.0
170	0.0
171	0.0
172	0.0
173	0.0
174	0.0
175	0.0
176	0.0
177	0.0
178	0.0
179	0.0
180	0.0
181	0.0
182	0.0
183	0.0
184	0.0
185	0.0
186	0.0
187	0.0
188	0.0
189	0.0
190	0.0
191	0.0
192	0.0
193	0.0
194	0.0
195	0.0
196	0.0
197	0.0
198	0.0
199	0.0008064516129032258
