id,value
American IPA,5878
American Pale,3612
Imperial IPA,2379
Saison,2157
Amber,1958
Blonde,1505
American Brown,1446
American Imperial Stout,1441
Brown Porter,1421
American Stout,1373
Hefeweizen,1076
Wheat Ale,1042
Specialty,1006
Witbier,951
Spice Beer,883
Fruit Beer,878
American Lager,759
Belgian Tripel,717
Sour,710
German Pilsener,672
Sweet Stout,670
Black Ale,638
Oatmeal Stout,628
American Barleywine,599
American Premium Lager,579
Belgian Pale,575
Kölsch,573
American Pilsener,559
Irish Red,542
BBL Aged,542
Robust Porter,527
Belgian Ale,522
ESB,509
Belgian Blonde,482
Pumpkin Beer,470
Strong Ale,467
Berlinerweisse,434
Bitter,430
Cream Ale,429
Rye Ale,397
Belgian Dubbel,394
Belgian Dark Strong,379
Scotch Ale,378
Doppelbock,376
Märzen,373
Stout,348
English Brown,345
Session IPA,338
English IPA,328
Belgian Pale Strong,323
Fruit Cider,321
Altbier,314
Imperial Red,313
Maibock,309
American Oktoberfest,301
Dunkelweizen,286
Session,285
Common Cider,285
Dry Irish Stout,284
BBL Aged Sour,282
Vienna Lager,275
English Pale,273
Old Ale,267
Bohemian Pilsener,261
Schwarzbier,259
Helles,254
Coffee Beer,253
American Imperial Porter,247
Bock,232
Dortmunder,231
Scottish Heavy,223
Belgian Quad,221
Baltic Porter,219
American Amber Lager,210
American Light Lager,205
Specialty Cider,200
English Pale Mild,188
Fruit Wheat Ale,187
Oktoberfest,185
Flanders Red,183
British Imperial Stout,179
Smoke Beer,171
Euro Dark,164
California Common,160
Kellerbier,158
British Barleywine,156
Fruit Lambic,154
Contemporary Gose,153
Special Bitter,152
Weizenbock,149
International Pilsener,147
BBL Aged Strong,290
Export Stout,145
Rauchbier,144
Honey Beer,139
Leipzig Gose,132
American Dark Lager,129
American Strong Pale,127
Leichtbier,126
English Dark Mild,125
Smoke Porter,125
Flavored Malt Beverage,124
Wheatwine,122
Wet Hop Ale,121
Wild Beer,120
Scottish Light,96
Non-Alcoholic,92
Chocolate Beer,85
Brett,83
International Pale,75
English Cider,74
English Summer Ale,72
Leichtesweizen,70
Sweet Mead,69
Experimental Beer,67
Dry Mead,67
Dark Wheat Ale,64
Scottish Export,64
German Rye,57
Kristallweizen,57
Mead,51
Malt Liquor,49
Gluten-Free Beer,49
American/Belgian Pale,47
Semi-Sweet Mead,46
American/Belgian Dark,42
Barrel Aged Pale,76
Belgian Table Beer,37
Traditional,36
New England Cider,36
Lambic,35
Chili Beer,33
Gueuze,32
Field Beer,31
Tropical Light Lager,30
Austrailian Pale,29
Cyser,25
Double Red,25
Indigenous Beer,23
American Low-Carb Lager,21
Eisbock,17
French Cider,17
Bernsteinfarbenesweizen,16
Belgian Fruit,14
Helles Rauchbier,14
